username, created_at, lng, lat, text
IngridRacette, Sat Jan 30 03:36:10 +0000 2021, -79.272570, 43.629311, @MoeSargi I Love both 
richardwwillis, Sat Jan 30 03:36:10 +0000 2021, -90.111231, 32.280999, @chaddacus They’ll have to let us know, too. Cuz we can’t be there. 
IAmRobRyan, Sat Jan 30 03:36:10 +0000 2021, -118.411907, 34.020789, @Zecca_Lehn @joinClubhouse I don’t wanna take oxygen from young founders sharing their company &amp; mission like today… https://t.co/xEI6dseuFZ 
ToddUnzicker, Sat Jan 30 03:36:10 +0000 2021, -78.515337, 35.959024, @mikewall62 Love ya bro! Praying for you guys! 
GavinMcgarrity, Sat Jan 30 03:36:10 +0000 2021, -74.231090, 40.930357, Huge throw... 54’0” First time indoor in over a year....#liftheavythrowfar https://t.co/8wdh9ud2Ud 
Jstandberry2, Sat Jan 30 03:36:10 +0000 2021, -95.446486, 29.838495, 😂😂😂 
raguilera68, Sat Jan 30 03:36:10 +0000 2021, -79.861034, 35.170499, @mamachita80 @GabbyLugoz @Aquilesv04 Por aquí no puedo contar jajajajajajaja jajaja! 😄🤪🤣🤭 
thisfloridalife, Sat Jan 30 03:36:11 +0000 2021, -81.318348, 28.654408, Watched #WANDAVISION and afterwards got a desire to watch the last hour of End Game. First time seeing the “Portals… https://t.co/7r4Iok58iy 
majordemo, Sat Jan 30 03:36:11 +0000 2021, -110.892878, 32.302931, @SecretaryHobbs Katie Hobbs for governor. 
marisol_ven, Sat Jan 30 03:36:11 +0000 2021, -106.417430, 31.793368, @MedinaRsepe It was very fun !!!! 
coachjansen, Sat Jan 30 03:36:11 +0000 2021, -86.109951, 42.765600, @CoachMLangley I’m sad coach. My boys are sad. 
gemidodeperro, Sat Jan 30 03:36:11 +0000 2021, -106.568008, 31.452274, Siempre lo he dicho que el es mejor @lefatfunny  #MasterChefMx https://t.co/ikmgkHWBak 
catesanders_, Sat Jan 30 03:36:11 +0000 2021, -110.915573, 32.189391, Listening to the Lumineers &amp; it just makes me want to drive through a National Forest. 
diamondrenaee1, Sat Jan 30 03:36:11 +0000 2021, -83.890192, 32.548263, Subscribe to our email list for perks on new deals and products ❤️❤️ #FVSU24 #fvsu #GirlBoss #smallbusinessowner… https://t.co/CnhyprWwcA 
1_Triggs, Sat Jan 30 03:36:11 +0000 2021, -84.539813, 39.137038, Mfs can’t believe I was 204 
WLW_MRL, Sat Jan 30 03:36:11 +0000 2021, -71.167135, 42.417040, @Ike58Reese In 27min???? 
JamesIsaak2, Sat Jan 30 03:36:11 +0000 2021, -83.260795, 42.146818, @MargueriteTurl2 @Saskajanet @7StellarJays I try to stop and listen wherever there are lots of those caterpillar webs. 
